task_id,task,status,处理人,模块,迭代,预计开始日期,预计结束日期,优先级顺序,优先级,重要程度,抄送人,父工作项,领域,预计工时,具体内容
TK-01,"编写并执行黑盒验收：健康检查",待开发,mengyetianxing,接口验收,迭代1,2026-07-17,2026-07-17,1,P0,关键,anmory666,ST-13,测试,1h,"健康检查 的接口成功/失败码、权限和数据结果"
TK-02,"编写并执行黑盒验收：未登录访问仪表盘",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,2,P0,关键,anmory666,ST-03,测试,1h,"未登录访问仪表盘 的接口成功/失败码、权限和数据结果"
TK-03,"编写并执行黑盒验收：伪造 Token 访问权限",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,3,P0,关键,anmory666,ST-01,测试,1h,"伪造 Token 访问权限 的接口成功/失败码、权限和数据结果"
TK-04,"编写并执行黑盒验收：登录缺少密码",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,4,P0,关键,anmory666,ST-01,测试,1h,"登录缺少密码 的接口成功/失败码、权限和数据结果"
TK-05,"编写并执行黑盒验收：错误密码登录",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,5,P0,关键,anmory666,ST-01,测试,1h,"错误密码登录 的接口成功/失败码、权限和数据结果"
TK-06,"编写并执行黑盒验收：管理员 JSON 登录兼容",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,6,P0,关键,anmory666,ST-01,测试,1h,"管理员 JSON 登录兼容 的接口成功/失败码、权限和数据结果"
TK-07,"编写并执行黑盒验收：JSON 登录会话退出",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,7,P0,关键,anmory666,ST-01,测试,1h,"JSON 登录会话退出 的接口成功/失败码、权限和数据结果"
TK-08,"编写并执行黑盒验收：管理员表单登录",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,8,P0,关键,anmory666,ST-01,测试,1h,"管理员表单登录 的接口成功/失败码、权限和数据结果"
TK-09,"编写并执行黑盒验收：管理员权限树",待开发,anmory666,接口验收,迭代1,2026-07-17,2026-07-17,9,P0,关键,anmory666,ST-01,测试,1h,"管理员权限树 的接口成功/失败码、权限和数据结果"
TK-10,"编写并执行黑盒验收：仪表盘聚合数据",待开发,Ning_24,接口验收,迭代1,2026-07-17,2026-07-17,10,P0,关键,anmory666,ST-03,测试,1h,"仪表盘聚合数据 的接口成功/失败码、权限和数据结果"
