"story","status","处理人","模块","迭代","预计开始日期","预计结束日期","优先级顺序","优先级","重要程度","抄送人","父工作项","领域","预计工时","具体内容"
"健康检查","待开发","mengyetianxing","测试与交付","迭代1","2026-07-13","2026-07-13","1","P0","关键","anmory666","","接口验收","1h","GET 接口场景：健康检查"
"未登录访问仪表盘","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","2","P0","关键","anmory666","","接口验收","1h","GET 接口场景：未登录访问仪表盘"
"伪造 Token 访问权限","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","3","P0","关键","anmory666","","接口验收","1h","GET 接口场景：伪造 Token 访问权限"
"登录缺少密码","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","4","P0","关键","anmory666","","接口验收","1h","POST 接口场景：登录缺少密码"
"错误密码登录","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","5","P0","关键","anmory666","","接口验收","1h","POST 接口场景：错误密码登录"
"管理员 JSON 登录兼容","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","6","P0","关键","anmory666","","接口验收","1h","POST 接口场景：管理员 JSON 登录兼容"
"JSON 登录会话退出","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","7","P0","关键","anmory666","","接口验收","1h","POST 接口场景：JSON 登录会话退出"
"管理员表单登录","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","8","P0","关键","anmory666","","接口验收","1h","POST 接口场景：管理员表单登录"
"管理员权限树","待开发","anmory666","认证与权限","迭代1","2026-07-13","2026-07-13","9","P0","关键","anmory666","","接口验收","1h","GET 接口场景：管理员权限树"
"仪表盘聚合数据","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-13","2026-07-13","10","P1","重要","anmory666","","接口验收","1h","GET 接口场景：仪表盘聚合数据"
"城市全量列表","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-13","2026-07-13","11","P1","重要","anmory666","","接口验收","1h","GET 接口场景：城市全量列表"
"城市分页列表","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-13","2026-07-13","12","P1","重要","anmory666","","接口验收","1h","GET 接口场景：城市分页列表"
"新增城市","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","13","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增城市"
"查询新增城市","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","14","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增城市"
"重复城市错误","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","15","P1","重要","anmory666","","接口验收","1h","POST 接口场景：重复城市错误"
"新增医药公司","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","16","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增医药公司"
"查询新增医药公司","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","17","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增医药公司"
"修改医药公司","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","18","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改医药公司"
"新增销售地点","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","19","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增销售地点"
"查询新增销售地点","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","20","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增销售地点"
"修改销售地点","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","21","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改销售地点"
"销售地点全量列表","待开发","Ning_24","基础资料与仪表盘","迭代1","2026-07-14","2026-07-14","22","P1","重要","anmory666","","接口验收","1h","GET 接口场景：销售地点全量列表"
"医生级别与科室字典","待开发","khyxone","医生与药品","迭代1","2026-07-14","2026-07-14","23","P1","重要","anmory666","","接口验收","1h","GET 接口场景：医生级别与科室字典"
"新增医生","待开发","khyxone","医生与药品","迭代1","2026-07-14","2026-07-14","24","P1","重要","anmory666","","接口验收","1h","POST 接口场景：新增医生"
"查询新增医生","待开发","khyxone","医生与药品","迭代1","2026-07-15","2026-07-15","25","P1","重要","anmory666","","接口验收","1h","GET 接口场景：查询新增医生"
"修改医生","待开发","khyxone","医生与药品","迭代1","2026-07-15","2026-07-15","26","P1","重要","anmory666","","接口验收","1h","PUT 接口场景：修改医生"
