story,status,处理人,模块,迭代,预计开始日期,预计结束日期,优先级顺序,优先级,重要程度,抄送人,父工作项,领域,预计工时,具体内容
登录与会话管理,待开发,成员1,认证与权限,迭代1,2026-07-13,2026-07-13,1,P0,关键,成员5,,安全,6h,支持账号密码登录(JSON/表单)、Token校验、退出登录和失效处理
权限树与角色边界,待开发,成员1,认证与权限,迭代1,2026-07-13,2026-07-14,2,P0,关键,成员5,登录与会话管理,安全,6h,提供权限树查询并验证管理员/医生访问边界
仪表盘聚合,待开发,成员2,仪表盘,迭代1,2026-07-13,2026-07-13,3,P0,关键,成员5,,业务,5h,统计卡片、趋势/排行数据、最新动态和首页展示
城市管理,待开发,成员2,基础资料,迭代1,2026-07-13,2026-07-14,4,P1,重要,成员5,,业务,7h,城市全量查询、分页查询、新增、重复校验、删除
医药公司管理,待开发,成员2,基础资料,迭代1,2026-07-14,2026-07-15,5,P1,重要,成员5,,业务,8h,公司分页/条件查询、新增、修改、删除和唯一性校验
销售地点管理,待开发,成员3,基础资料,迭代1,2026-07-14,2026-07-15,6,P1,重要,成员5,,业务,8h,销售地点全量/分页查询、新增、修改、删除
医生管理,待开发,成员3,人员管理,迭代1,2026-07-14,2026-07-16,7,P0,关键,成员5,,业务,12h,医生查询、字典信息、新增、修改、删除、密码重置和医生登录
药品管理,待开发,成员3,药品管理,迭代1,2026-07-15,2026-07-16,8,P0,关键,成员5,,业务,10h,药品分页查询、新增、修改、删除、图片字段关联
必备材料管理,待开发,成员4,政策与材料,迭代1,2026-07-15,2026-07-16,9,P1,重要,成员5,,业务,8h,材料查询、新增、修改、删除及医生越权拦截
医药公司政策管理,待开发,成员4,政策与材料,迭代1,2026-07-16,2026-07-16,10,P1,重要,成员5,,业务,7h,公司政策查询、新增、修改、删除
医保政策管理,待开发,成员4,政策与材料,迭代1,2026-07-16,2026-07-17,11,P1,重要,成员5,,业务,7h,医保政策查询、新增、修改、删除
图片上传与访问,待开发,成员4,文件服务,迭代1,2026-07-13,2026-07-14,12,P0,关键,成员5,,基础设施,6h,限制图片类型和大小、生成唯一文件名、保存和访问URL、Docker卷持久化
前端路由与菜单入口,待开发,成员5,前端基础,迭代1,2026-07-13,2026-07-15,13,P0,关键,成员1,,前端,10h,登录页、首页、九个业务入口、路由守卫、菜单权限和接口基址
前端业务页面联调,待开发,成员5,前端联调,迭代1,2026-07-16,2026-07-17,14,P0,关键,成员1,前端路由与菜单入口,前端,12h,逐页联调CRUD、分页、表单校验、错误提示和图片回显
接口回归与部署验收,待开发,成员5,测试与交付,迭代1,2026-07-17,2026-07-17,15,P0,关键,全员,,测试,8h,执行43个接口覆盖、上传持久化、Docker健康检查、文档和发布验收
